engine_size_l,cylinders,fuel_type,vehicle_class,distance_km,duration_minutes,avg_speed_kmh,max_speed_kmh,idle_time_minutes,route_type,load_weight_kg,traffic_level,weather,fuel_used_liters
1.5,4,petrol,Compact,26.9,66.44,24.3,34.26,15.36,urban,334.46,medium,hot,2.92
2.4,4,diesel,Pickup,6.09,18.61,19.65,34.66,9.88,urban,1829.73,medium,clear,1.026
3.0,4,diesel,Pickup,119.5,195.46,36.68,45.68,35.91,mixed,381.82,high,clear,16.455
2.4,4,diesel,Pickup,47.13,88.64,31.9,40.14,14.32,urban,1980.11,low,clear,5.22
2.5,4,diesel,Pickup,43.19,84.02,30.84,47.24,12.47,urban,839.56,low,clear,4.294
2.5,4,diesel,Pickup,110.27,174.78,37.85,61.37,34.64,mixed,1780.01,high,clear,15.236
1.5,4,petrol,Compact,35.24,103.48,20.43,36.56,24.35,urban,430.2,medium,clear,3.595
2.4,4,diesel,Pickup,10.72,25.42,25.3,33.64,9.58,urban,170.69,high,clear,1.768
2.8,4,diesel,SUV,109.74,82.86,79.46,116.03,6.87,highway,125.43,medium,clear,11.076
5.7,8,diesel,Truck,93.61,168.52,33.33,45.0,31.93,mixed,1429.19,high,rain,22.464
3.5,6,petrol,SUV,138.28,142.37,58.28,71.6,18.75,mixed,79.32,medium,clear,17.817
2.0,4,petrol,Sedan,6.83,13.24,30.97,45.97,2.06,urban,245.81,low,clear,0.613
1.5,4,petrol,Compact,7.16,17.18,25.01,38.1,5.74,urban,307.93,medium,rain,0.813
1.5,4,petrol,Compact,164.17,254.23,38.75,49.48,49.1,mixed,410.32,high,rain,16.501
3.0,4,diesel,Pickup,69.31,87.97,47.27,57.83,12.48,mixed,673.11,medium,clear,7.699
5.7,8,diesel,Truck,41.65,173.68,14.39,23.28,54.09,urban,1754.94,high,clear,14.096
2.8,4,diesel,SUV,240.56,220.86,65.35,107.11,16.84,highway,125.01,high,clear,30.953
3.5,6,petrol,SUV,142.37,186.98,45.69,65.18,23.97,mixed,248.28,medium,clear,19.593
2.2,4,diesel,Van,5.49,17.22,19.12,33.85,6.87,urban,1263.67,high,clear,0.923
4.5,6,diesel,SUV,14.57,25.67,34.07,60.68,7.46,urban,418.48,medium,clear,2.353
2.4,4,diesel,Pickup,8.27,15.74,31.55,39.39,2.38,urban,1973.28,low,rain,0.919
2.4,4,diesel,Pickup,126.54,118.39,64.13,95.49,10.89,mixed,1410.17,low,hot,11.5
5.7,8,diesel,Truck,22.04,24.45,54.09,68.76,2.3,mixed,1298.42,low,clear,4.054
2.4,4,diesel,Pickup,105.99,110.05,57.79,84.47,12.48,mixed,1955.8,low,clear,10.139
4.5,6,diesel,SUV,16.38,64.93,15.14,19.68,19.97,urban,147.25,high,hot,4.333
2.4,4,diesel,Pickup,70.45,53.21,79.45,124.89,3.31,highway,376.24,medium,hot,7.119
5.7,8,diesel,Truck,212.16,140.84,90.38,110.21,5.59,highway,822.41,low,clear,34.695
3.0,4,diesel,Pickup,130.41,203.24,38.5,66.21,36.68,mixed,52.73,high,rain,18.479
2.4,4,diesel,Pickup,87.81,112.29,46.92,79.65,15.16,mixed,127.02,medium,hot,9.744
2.2,4,diesel,Van,439.13,286.3,92.03,140.0,15.81,highway,1699.29,low,clear,40.835
2.4,4,diesel,Pickup,17.36,34.25,30.42,50.31,4.89,urban,537.34,low,clear,1.662
1.5,4,petrol,Compact,113.63,134.08,50.85,78.13,20.27,mixed,201.74,medium,rain,9.424
1.5,4,petrol,Compact,58.33,63.3,55.29,79.36,8.75,mixed,452.08,medium,rain,4.183
2.8,4,diesel,SUV,184.08,123.37,89.53,140.0,7.4,highway,421.05,medium,hot,20.878
2.4,4,diesel,Pickup,27.17,53.25,30.61,41.15,10.81,urban,257.76,medium,hot,2.688
1.5,4,petrol,Compact,131.03,103.12,76.24,131.48,6.6,highway,486.56,medium,rain,10.317
5.7,8,diesel,Truck,20.64,69.76,17.75,27.0,21.81,urban,1788.43,high,clear,6.782
2.4,4,diesel,Pickup,409.73,321.35,76.5,131.9,21.14,highway,122.16,medium,clear,38.498
5.7,8,diesel,Truck,197.53,192.71,61.5,82.51,19.04,mixed,1062.53,low,clear,34.538
2.5,4,diesel,Pickup,148.4,154.47,57.64,87.58,13.2,mixed,894.82,low,clear,15.697
3.0,4,diesel,Pickup,132.03,80.88,97.95,122.78,4.36,highway,466.43,low,rain,15.777
2.8,4,diesel,SUV,265.81,181.62,87.81,134.76,10.85,highway,282.23,medium,rain,31.101
5.7,8,diesel,Truck,30.69,102.24,18.01,22.71,20.78,urban,491.92,medium,rain,8.963
2.8,4,diesel,SUV,30.02,29.29,61.49,73.98,9.84,mixed,245.37,low,rain,3.438
2.0,4,petrol,Sedan,122.89,185.89,39.67,52.05,34.24,mixed,212.72,high,clear,12.486
2.4,4,diesel,Pickup,158.2,189.59,50.06,88.07,23.52,mixed,1187.77,medium,rain,16.403
2.0,4,petrol,Sedan,49.55,88.0,33.78,45.7,14.61,urban,380.11,low,clear,4.191
3.5,6,petrol,SUV,432.83,488.14,53.2,93.62,46.02,highway,102.5,high,clear,69.637
3.0,4,diesel,Pickup,42.88,96.41,26.69,35.25,19.64,urban,328.53,medium,clear,6.474
4.5,6,diesel,SUV,19.23,34.39,33.55,49.35,9.38,urban,449.83,medium,hot,3.245
2.0,4,petrol,Sedan,209.91,150.95,83.43,103.46,8.07,highway,271.42,medium,clear,16.223
2.0,4,petrol,Sedan,45.07,51.46,52.55,79.88,10.66,mixed,394.3,medium,clear,4.459
2.0,4,petrol,Sedan,45.76,51.52,53.29,79.75,8.99,mixed,51.46,medium,rain,4.177
2.8,4,diesel,SUV,292.94,261.8,67.14,111.65,13.11,highway,299.22,medium,clear,29.494
2.8,4,diesel,SUV,131.72,85.11,92.85,133.76,4.22,highway,473.64,low,clear,14.36
5.7,8,diesel,Truck,58.15,39.24,88.91,140.0,4.42,highway,305.08,medium,rain,11.932
5.7,8,diesel,Truck,42.82,100.31,25.61,33.6,17.68,urban,664.29,low,clear,10.088
2.0,4,petrol,Sedan,74.64,52.47,85.35,102.66,3.43,highway,199.08,medium,clear,6.359
2.2,4,diesel,Van,106.55,178.54,35.81,43.67,37.02,mixed,496.45,high,clear,12.59
2.2,4,diesel,Van,213.08,143.25,89.24,107.79,9.34,highway,356.07,medium,hot,21.638
2.8,4,diesel,SUV,290.78,226.26,77.11,106.87,12.33,highway,213.39,medium,hot,29.323
3.5,6,petrol,SUV,26.58,22.67,70.35,87.19,4.89,mixed,226.64,low,clear,3.098
2.5,4,diesel,Pickup,394.41,301.43,78.51,97.76,17.87,highway,544.6,medium,clear,37.589
3.0,4,diesel,Pickup,120.27,85.22,84.68,102.99,4.76,highway,462.15,medium,clear,14.585
3.5,6,petrol,SUV,34.37,130.98,15.75,21.19,41.85,urban,427.85,high,clear,7.77
2.8,4,diesel,SUV,78.32,80.11,58.65,96.28,10.5,mixed,61.39,low,clear,7.942
3.0,4,diesel,Pickup,417.85,339.75,73.79,105.36,18.77,highway,536.13,medium,hot,44.802
4.5,6,diesel,SUV,43.75,166.93,15.72,24.21,58.53,urban,235.53,high,clear,11.41
2.4,4,diesel,Pickup,364.48,298.72,73.21,116.18,16.03,highway,264.55,medium,rain,34.726
2.5,4,diesel,Pickup,10.3,29.99,20.6,31.57,6.31,urban,1659.48,low,hot,1.584
1.5,4,petrol,Compact,16.99,42.1,24.22,38.26,7.26,urban,286.65,low,clear,1.661
2.4,4,diesel,Pickup,71.13,51.68,82.59,103.21,4.43,highway,490.7,medium,clear,6.835
4.5,6,diesel,SUV,149.88,170.62,52.71,75.79,26.64,mixed,67.5,medium,hot,23.161
3.5,6,petrol,SUV,31.78,66.38,28.72,44.75,10.11,urban,385.46,low,clear,4.946
4.5,6,diesel,SUV,36.72,108.66,20.28,25.26,21.89,urban,1.17,medium,clear,8.346
3.0,4,diesel,Pickup,9.12,22.22,24.63,32.29,6.01,urban,1745.89,medium,clear,1.573
3.5,6,petrol,SUV,336.75,321.87,62.77,77.27,26.36,highway,22.08,high,rain,52.469
1.5,4,petrol,Compact,76.31,88.42,51.79,68.13,10.85,mixed,210.88,medium,clear,5.474
2.5,4,diesel,Pickup,114.04,106.51,64.24,91.14,10.59,mixed,962.12,low,clear,11.724
3.0,4,diesel,Pickup,31.76,36.61,52.06,87.18,5.16,mixed,1251.78,medium,rain,3.633
5.7,8,diesel,Truck,198.26,223.58,53.2,66.08,26.85,mixed,105.37,medium,clear,37.197
2.4,4,diesel,Pickup,443.15,371.41,71.59,117.59,19.12,highway,220.95,medium,rain,39.35
3.5,6,petrol,SUV,6.89,21.68,19.08,30.68,3.53,urban,474.98,low,clear,1.129
4.5,6,diesel,SUV,47.51,78.0,36.55,47.52,25.06,urban,115.84,medium,hot,7.501
2.8,4,diesel,SUV,41.66,43.96,56.86,69.48,10.0,mixed,413.1,low,rain,4.699
4.5,6,diesel,SUV,46.75,114.01,24.6,39.8,34.54,urban,407.92,high,hot,11.145
2.0,4,petrol,Sedan,452.71,342.38,79.33,113.82,17.76,highway,238.34,medium,clear,39.697
3.0,4,diesel,Pickup,137.94,269.18,30.75,44.43,49.39,mixed,519.51,high,rain,20.078
4.5,6,diesel,SUV,9.93,20.16,29.54,45.57,6.2,urban,271.89,medium,hot,2.037
2.4,4,diesel,Pickup,173.1,280.5,37.03,63.03,52.88,mixed,1360.28,high,rain,23.021
2.0,4,petrol,Sedan,25.95,105.25,14.79,25.81,31.58,urban,278.09,high,hot,4.269
1.5,4,petrol,Compact,30.19,66.27,27.33,32.95,12.69,urban,64.22,low,clear,2.643
3.0,4,diesel,Pickup,81.54,92.24,53.04,66.91,16.6,mixed,1375.77,medium,hot,10.408
2.5,4,diesel,Pickup,147.54,163.87,54.02,67.25,17.59,mixed,1980.3,low,rain,16.227
2.8,4,diesel,SUV,79.53,61.37,77.75,131.5,3.65,highway,0.51,medium,clear,8.58
2.5,4,diesel,Pickup,25.31,77.09,19.7,31.84,23.63,urban,164.76,high,clear,4.332
2.8,4,diesel,SUV,47.19,46.61,60.75,88.2,5.95,mixed,198.8,low,hot,4.846
2.2,4,diesel,Van,375.99,296.45,76.1,130.96,17.33,highway,1125.5,medium,clear,35.098
3.5,6,petrol,SUV,11.91,19.38,36.88,44.65,5.9,urban,147.08,low,clear,1.396
3.5,6,petrol,SUV,106.67,137.3,46.62,61.55,17.83,mixed,32.1,medium,rain,16.07
2.0,4,petrol,Sedan,49.3,121.19,24.41,39.25,25.25,urban,487.35,medium,clear,5.661
2.0,4,petrol,Sedan,40.09,96.69,24.88,31.42,19.89,urban,493.33,medium,hot,4.873
2.0,4,petrol,Sedan,54.4,40.27,81.04,101.52,2.88,highway,16.6,medium,clear,4.272
2.8,4,diesel,SUV,140.39,99.57,84.6,103.61,7.2,highway,475.77,medium,hot,16.283
3.0,4,diesel,Pickup,130.33,150.79,51.86,91.71,20.06,mixed,1566.85,medium,rain,16.457
1.5,4,petrol,Compact,161.09,205.2,47.1,61.16,25.78,mixed,362.41,medium,clear,11.957
1.5,4,petrol,Compact,79.22,81.45,58.36,100.56,10.91,mixed,21.83,medium,rain,6.076
2.5,4,diesel,Pickup,29.41,84.91,20.78,29.97,17.48,urban,836.8,medium,clear,4.377
2.4,4,diesel,Pickup,94.86,95.79,59.42,97.52,10.97,mixed,1009.69,low,hot,9.991
2.5,4,diesel,Pickup,150.55,163.07,55.39,96.41,20.66,mixed,553.66,medium,clear,16.049
3.0,4,diesel,Pickup,25.96,69.07,22.55,37.56,14.85,urban,1203.71,medium,clear,4.389
5.7,8,diesel,Truck,43.45,260.68,10.0,17.22,79.38,urban,1029.63,high,clear,15.043
2.2,4,diesel,Van,76.19,72.87,62.74,75.62,7.9,mixed,1197.43,low,rain,6.919
2.8,4,diesel,SUV,33.23,39.57,50.38,70.65,8.28,mixed,215.44,medium,clear,3.561
2.8,4,diesel,SUV,211.66,201.51,63.02,89.12,16.64,highway,390.9,high,clear,23.339
3.5,6,petrol,SUV,57.05,70.78,48.37,59.7,10.01,mixed,468.3,medium,hot,7.653
2.4,4,diesel,Pickup,19.23,52.3,22.06,28.43,19.09,urban,1930.24,medium,hot,3.034
2.5,4,diesel,Pickup,16.44,98.64,10.0,15.19,29.86,urban,265.43,high,clear,3.143
2.8,4,diesel,SUV,194.58,198.28,58.88,86.34,20.71,mixed,88.57,low,rain,20.595
2.5,4,diesel,Pickup,23.15,36.23,38.34,65.9,9.45,mixed,226.22,high,clear,2.884
2.2,4,diesel,Van,138.6,142.97,58.17,73.52,19.3,mixed,1998.83,medium,clear,13.137
2.0,4,petrol,Sedan,38.86,144.01,16.19,20.49,45.31,urban,382.6,high,hot,6.027
2.8,4,diesel,SUV,163.61,236.83,41.45,52.73,44.2,mixed,2.88,high,rain,22.002
2.4,4,diesel,Pickup,224.85,186.76,72.24,102.86,9.85,highway,146.39,medium,rain,21.521
3.0,4,diesel,Pickup,27.52,58.74,28.11,48.02,16.66,urban,1627.53,medium,rain,4.724
2.2,4,diesel,Van,290.12,200.26,86.92,140.0,12.55,highway,1911.05,medium,clear,29.098
4.5,6,diesel,SUV,45.41,93.08,29.27,36.18,18.48,urban,175.81,low,rain,8.625
2.5,4,diesel,Pickup,35.15,83.41,25.29,39.16,16.87,urban,1435.27,medium,clear,5.339
2.5,4,diesel,Pickup,13.15,39.15,20.15,30.54,10.3,urban,213.75,medium,clear,2.027
5.7,8,diesel,Truck,8.92,35.22,15.19,23.03,10.8,urban,5.17,high,clear,3.065
2.0,4,petrol,Sedan,58.17,124.7,27.99,47.69,27.05,mixed,176.71,high,clear,8.58
5.7,8,diesel,Truck,43.3,86.19,30.14,50.04,17.56,urban,847.89,medium,rain,9.335
4.5,6,diesel,SUV,14.75,28.44,31.12,47.56,6.22,urban,195.45,medium,hot,2.516
2.2,4,diesel,Van,362.82,445.88,48.82,79.61,35.8,highway,1982.51,high,clear,37.135
3.0,4,diesel,Pickup,397.68,283.9,84.05,130.9,15.22,highway,733.91,medium,hot,43.956
2.0,4,petrol,Sedan,80.43,54.29,88.89,135.47,6.14,highway,325.44,low,clear,7.095
2.0,4,petrol,Sedan,7.36,25.22,17.5,31.46,6.23,urban,166.78,medium,clear,0.886
2.0,4,petrol,Sedan,360.5,380.5,56.85,71.51,29.73,highway,378.08,high,clear,34.155
2.4,4,diesel,Pickup,22.21,97.05,13.73,22.01,29.31,urban,514.09,high,clear,4.056
3.5,6,petrol,SUV,160.77,184.98,52.15,73.84,15.72,mixed,468.48,low,rain,20.083
2.2,4,diesel,Van,474.07,491.89,57.83,89.05,37.88,highway,1002.31,high,clear,55.751
2.4,4,diesel,Pickup,44.51,141.77,18.84,31.53,43.26,urban,161.84,high,clear,7.585
4.5,6,diesel,SUV,48.08,89.28,32.31,49.92,13.8,urban,156.86,low,clear,6.863
2.4,4,diesel,Pickup,276.15,326.98,50.67,71.98,24.66,highway,51.62,high,clear,30.653
2.2,4,diesel,Van,10.49,19.65,32.04,55.29,3.4,urban,1702.9,low,rain,1.066
2.5,4,diesel,Pickup,160.54,178.19,54.06,97.14,15.09,mixed,1390.07,low,clear,16.374
2.2,4,diesel,Van,402.21,273.77,88.15,140.0,11.51,highway,1266.38,low,clear,35.279
3.5,6,petrol,SUV,132.3,213.21,37.23,47.6,29.94,mixed,224.89,medium,clear,18.406
3.0,4,diesel,Pickup,380.13,295.75,77.12,93.43,15.39,highway,1520.58,medium,rain,38.752
5.7,8,diesel,Truck,42.54,134.15,19.03,23.57,26.92,urban,742.82,medium,clear,11.794
2.4,4,diesel,Pickup,94.14,76.29,74.03,103.26,6.49,highway,952.04,medium,rain,9.469
2.2,4,diesel,Van,480.3,494.09,58.33,98.3,37.22,highway,558.74,high,clear,52.501
2.5,4,diesel,Pickup,33.67,95.26,21.21,33.56,30.48,urban,133.3,high,clear,5.955
3.5,6,petrol,SUV,99.79,97.41,61.47,103.34,8.41,mixed,17.79,low,hot,12.739
2.8,4,diesel,SUV,82.95,93.2,53.4,70.02,11.57,mixed,49.2,medium,clear,9.685
2.0,4,petrol,Sedan,34.79,34.48,60.54,86.52,3.36,mixed,60.69,low,clear,2.96
2.8,4,diesel,SUV,27.55,28.86,57.28,94.44,6.8,mixed,328.24,medium,clear,3.484
5.7,8,diesel,Truck,21.75,130.49,10.0,15.68,44.88,urban,481.39,high,clear,6.799
4.5,6,diesel,SUV,198.63,271.25,43.94,75.91,33.15,mixed,272.01,medium,clear,31.076
4.5,6,diesel,SUV,151.13,170.08,53.31,69.65,21.98,mixed,492.33,medium,rain,25.101
2.0,4,petrol,Sedan,358.38,290.51,74.02,104.03,15.59,highway,379.09,medium,clear,29.838
2.4,4,diesel,Pickup,360.0,230.66,93.64,140.0,8.42,highway,923.11,low,clear,36.047
3.5,6,petrol,SUV,9.46,18.06,31.44,41.58,5.23,urban,366.54,medium,hot,1.345
1.5,4,petrol,Compact,292.41,204.05,85.98,140.0,13.78,highway,5.52,medium,clear,21.113
2.2,4,diesel,Van,46.8,52.38,53.61,96.38,7.2,mixed,897.22,medium,clear,4.478
2.8,4,diesel,SUV,139.35,150.87,55.42,79.88,16.82,mixed,255.05,low,clear,13.767
3.0,4,diesel,Pickup,30.23,54.71,33.15,55.8,11.57,urban,1650.1,medium,clear,3.966
2.4,4,diesel,Pickup,385.67,250.41,92.41,131.6,9.03,highway,1471.01,low,rain,41.735
2.4,4,diesel,Pickup,38.1,96.76,23.63,37.37,16.63,urban,236.67,low,clear,5.313
2.0,4,petrol,Sedan,191.06,222.51,51.52,92.1,27.06,mixed,350.13,medium,rain,16.825
2.0,4,petrol,Sedan,47.33,125.27,22.67,39.07,28.74,urban,93.05,medium,clear,5.364
2.4,4,diesel,Pickup,334.03,354.72,56.5,68.04,26.72,highway,450.45,high,rain,40.297
2.2,4,diesel,Van,32.41,39.29,49.5,67.17,5.28,mixed,1812.51,medium,hot,3.304
3.5,6,petrol,SUV,172.06,222.44,46.41,79.45,26.79,mixed,309.85,medium,clear,22.202
2.2,4,diesel,Van,8.89,18.43,28.93,44.24,3.96,urban,1764.27,medium,rain,1.157
4.5,6,diesel,SUV,37.89,116.89,19.45,29.93,24.62,urban,486.0,medium,clear,8.134
2.2,4,diesel,Van,23.81,47.51,30.07,45.92,14.53,urban,454.82,low,rain,2.36
5.7,8,diesel,Truck,325.81,332.7,58.76,85.62,25.26,highway,1328.38,high,clear,70.686
2.2,4,diesel,Van,137.18,177.21,46.45,70.02,24.55,mixed,918.48,medium,clear,13.438
3.0,4,diesel,Pickup,49.65,47.05,63.31,95.7,4.41,mixed,1755.66,low,clear,5.176
2.0,4,petrol,Sedan,30.21,59.26,30.59,46.84,8.49,urban,171.83,low,hot,2.882
2.4,4,diesel,Pickup,253.26,292.6,51.93,76.06,22.38,highway,373.45,high,clear,28.539
3.5,6,petrol,SUV,33.56,131.91,15.26,26.7,41.1,urban,78.98,high,clear,8.085
2.8,4,diesel,SUV,213.4,122.27,104.72,127.76,5.18,highway,366.32,low,rain,24.896
4.5,6,diesel,SUV,447.09,334.81,80.12,140.0,17.82,highway,492.06,medium,clear,69.449
4.5,6,diesel,SUV,196.36,257.86,45.69,73.66,31.14,mixed,14.68,medium,hot,30.236
2.8,4,diesel,SUV,53.73,54.78,58.85,89.72,7.08,mixed,157.18,low,rain,6.037
2.5,4,diesel,Pickup,108.96,137.61,47.51,61.96,19.0,mixed,1651.96,medium,clear,12.666
2.4,4,diesel,Pickup,25.27,46.55,32.57,51.21,7.39,urban,1682.9,low,clear,2.707
3.0,4,diesel,Pickup,19.17,42.06,27.35,49.09,8.56,urban,154.16,medium,clear,2.777
3.0,4,diesel,Pickup,58.28,66.51,52.57,90.56,10.89,mixed,1576.89,medium,clear,7.217
2.5,4,diesel,Pickup,50.43,111.27,27.2,36.33,20.99,mixed,257.7,high,clear,7.46
3.0,4,diesel,Pickup,27.56,27.96,59.16,80.93,6.26,mixed,584.44,low,clear,3.224
3.0,4,diesel,Pickup,196.72,214.55,55.02,86.76,27.27,mixed,1270.18,medium,rain,27.336
2.8,4,diesel,SUV,9.34,36.0,15.57,24.28,7.91,urban,149.96,medium,clear,1.473
2.2,4,diesel,Van,35.05,95.54,22.01,28.86,28.83,urban,479.02,high,hot,5.71
2.4,4,diesel,Pickup,40.51,70.86,34.3,46.36,14.67,urban,976.75,medium,clear,4.474
4.5,6,diesel,SUV,42.32,137.63,18.45,27.86,42.42,urban,158.47,high,rain,11.577
2.2,4,diesel,Van,47.66,79.64,35.91,56.87,13.41,urban,263.39,low,clear,4.325
2.8,4,diesel,SUV,477.74,327.98,87.4,131.42,18.41,highway,35.47,medium,rain,55.558
2.2,4,diesel,Van,45.83,98.83,27.82,40.91,15.12,urban,1245.04,low,rain,5.302
3.0,4,diesel,Pickup,291.65,214.74,81.49,111.72,11.98,highway,877.08,medium,clear,34.147
5.7,8,diesel,Truck,8.92,40.95,13.07,18.39,13.7,urban,1748.45,high,clear,3.169
3.0,4,diesel,Pickup,225.44,229.67,58.9,94.38,17.82,highway,1349.22,high,clear,31.127
2.4,4,diesel,Pickup,20.28,37.35,32.58,44.14,6.84,mixed,1207.59,high,rain,2.607
2.5,4,diesel,Pickup,34.82,80.46,25.97,39.72,20.7,urban,808.48,medium,rain,5.111
3.0,4,diesel,Pickup,355.4,344.6,61.88,74.63,27.87,highway,1826.57,high,rain,44.6
2.2,4,diesel,Van,38.34,65.43,35.16,63.1,12.59,urban,1389.76,low,rain,3.884
3.0,4,diesel,Pickup,459.56,309.3,89.15,131.94,14.22,highway,134.77,low,clear,50.623
4.5,6,diesel,SUV,69.57,75.89,55.0,80.74,12.31,mixed,411.21,medium,rain,10.655
2.2,4,diesel,Van,217.03,148.09,87.93,140.0,8.34,highway,333.72,medium,clear,20.959
4.5,6,diesel,SUV,475.99,306.63,93.14,132.94,10.75,highway,192.94,low,rain,61.573
2.4,4,diesel,Pickup,42.88,102.61,25.07,31.67,31.15,urban,1944.05,high,clear,7.959
3.5,6,petrol,SUV,37.87,55.21,41.16,57.13,6.94,mixed,243.93,medium,clear,4.645
5.7,8,diesel,Truck,76.51,78.21,58.7,99.55,14.84,mixed,576.81,low,hot,15.417
2.8,4,diesel,SUV,49.1,96.08,30.66,39.89,29.39,urban,419.27,high,rain,6.437
3.0,4,diesel,Pickup,7.59,20.3,22.44,39.94,4.47,urban,694.55,low,clear,1.118
3.5,6,petrol,SUV,57.32,56.33,61.05,84.27,5.52,mixed,396.26,low,rain,7.444
3.0,4,diesel,Pickup,26.4,91.15,17.38,30.9,23.03,urban,1444.29,medium,clear,4.646
2.0,4,petrol,Sedan,40.74,118.61,20.61,36.4,35.91,urban,231.34,high,clear,5.93
2.8,4,diesel,SUV,71.44,80.57,53.2,76.18,11.1,mixed,246.16,medium,clear,7.684
2.5,4,diesel,Pickup,99.82,140.64,42.59,71.72,26.61,mixed,1992.25,high,clear,14.196
3.5,6,petrol,SUV,180.76,204.75,52.97,83.47,29.79,mixed,9.56,medium,rain,21.42
2.0,4,petrol,Sedan,44.2,58.75,45.14,75.96,7.7,mixed,105.35,medium,rain,3.877
2.2,4,diesel,Van,199.04,347.35,34.38,54.31,62.67,mixed,11.33,high,clear,21.701
3.5,6,petrol,SUV,172.27,223.89,46.16,68.9,27.03,mixed,203.77,medium,rain,24.099
2.0,4,petrol,Sedan,30.97,86.74,21.42,36.53,17.9,urban,239.13,medium,rain,4.093
2.5,4,diesel,Pickup,15.46,31.58,29.36,51.61,7.36,urban,1812.22,medium,clear,2.168
1.5,4,petrol,Compact,490.54,351.49,83.74,133.03,12.56,highway,444.33,low,rain,37.323
1.5,4,petrol,Compact,119.84,137.94,52.13,77.04,17.09,mixed,151.6,medium,rain,10.317
2.0,4,petrol,Sedan,374.29,259.97,86.38,140.0,12.57,highway,360.86,low,hot,31.557
2.2,4,diesel,Van,112.0,138.96,48.36,82.39,16.68,mixed,493.65,medium,clear,10.804
2.2,4,diesel,Van,10.85,28.48,22.85,35.26,13.3,urban,1885.97,high,rain,1.972
3.0,4,diesel,Pickup,36.07,43.57,49.67,71.16,7.23,mixed,1407.71,medium,hot,4.992
5.7,8,diesel,Truck,13.23,31.17,25.46,40.88,10.13,urban,537.94,low,hot,3.397
2.8,4,diesel,SUV,84.81,101.77,50.0,72.99,13.44,mixed,104.44,medium,clear,9.687
3.0,4,diesel,Pickup,237.43,152.14,93.63,124.27,7.47,highway,944.56,low,rain,28.23
3.5,6,petrol,SUV,66.17,66.88,59.36,75.72,7.69,highway,487.3,high,rain,10.513
4.5,6,diesel,SUV,35.36,41.96,50.57,85.66,8.08,mixed,271.9,medium,clear,5.292
4.5,6,diesel,SUV,170.89,175.62,58.38,71.16,17.42,mixed,165.12,low,hot,24.56
2.0,4,petrol,Sedan,6.87,12.87,32.06,47.22,3.2,urban,109.9,medium,hot,0.646
5.7,8,diesel,Truck,88.86,120.18,44.37,64.83,15.23,mixed,683.61,medium,clear,16.75
1.5,4,petrol,Compact,50.61,35.75,84.94,140.0,5.54,highway,11.8,medium,clear,3.509
3.5,6,petrol,SUV,91.64,166.51,33.02,44.15,30.54,mixed,242.04,high,clear,14.115
1.5,4,petrol,Compact,63.05,62.39,60.63,96.21,9.13,mixed,388.46,medium,hot,4.725
2.4,4,diesel,Pickup,33.01,64.48,30.72,39.57,12.36,urban,1271.91,low,clear,3.565
